radius,x,y
22,281,192
50,344,179
13,246,33
53,122,326
24,197,37
19,155,50
20,45,163
48,143,125
2,254,326
47,230,153
6,10,121
40,298,187
11,1,141
6,74,123
1,276,343
22,260,212
34,50,344
17,252,110
40,211,255
43,266,73
7,307,302
5,73,205
12,35,311
30,325,152
19,203,330
15,100,110
0,14,286
54,15,9
5,170,207
48,125,47
19,323,237
32,286,342
36,94,255
24,336,148
33,60,63
44,291,202
47,10,270
7,339,195
27,168,53
44,114,348
22,102,345
46,148,173
38,57,251
17,102,234
44,160,150
7,253,233
26,112,173
51,105,175
2,101,179
52,37,266
48,255,72
37,184,71
34,147,65
22,94,165
53,39,150
51,302,310
0,65,4
28,284,121
17,116,51
20,1,205
39,306,87
13,211,151
52,112,178
1,84,211
16,295,259
1,221,336
21,178,291
29,213,22
14,245,108
30,338,0
21,49,92
49,333,141
45,212,336
2,117,205
25,93,315
45,71,176
21,232,247
52,246,141
19,335,161
44,171,346
53,91,28
30,141,222
38,316,106
2,15,111
41,166,3
6,238,1
13,132,160
50,199,28
18,42,50
36,174,207
43,278,58
54,309,215
17,200,308
54,310,16
54,2,39
13,155,277
33,255,169
46,133,36
8,47,216
8,197,177
